wl	n
0.2000	1.6903625
0.2090	1.664789106322
0.2180	1.6436500246061
0.2270	1.6260123433255
0.2360	1.6111691987637
0.2450	1.5985785755657
0.2540	1.5878202560436
0.2630	1.5785651057878
0.2720	1.5705528723222
0.2810	1.5635759412854
0.2900	1.5574673163849
0.2990	1.5520916304765
0.3080	1.5473383566873
0.3170	1.5431166334071
0.3260	1.5393512850128
0.3350	1.5359797368593
0.3440	1.5329496050114
0.3530	1.5302167993364
0.3620	1.5277440202668
0.3710	1.5254995597057
0.3800	1.5234563385794
0.3890	1.5215911297557
0.3980	1.5198839270955
0.4070	1.5183174304059
0.4160	1.5168766228543
0.4250	1.5155484225524
0.4340	1.5143213939518
0.4430	1.5131855077166
0.4520	1.5121319400778
0.4610	1.5111529044914
0.4700	1.5102415098446
0.4790	1.509391640575
0.4880	1.5085978549488
0.4970	1.5078552984474
0.5060	1.5071596297724
0.5150	1.5065069574267
0.5240	1.5058937851922
0.5330	1.5053169651157
0.5420	1.5047736568522
0.5510	1.5042612924086
0.5600	1.5037775454889
0.5690	1.5033203047696
0.5780	1.5028876505457
0.5870	1.5024778342701
0.5960	1.5020892605881
0.6050	1.5017204715255
0.6140	1.5013701325426
0.6230	1.5010370202074
0.6320	1.5007200112771
0.6410	1.5004180730087
0.6500	1.5001302545429
0.6590	1.4998556792284
0.6680	1.4995935377708
0.6770	1.4993430821082
0.6860	1.499103619925
0.6950	1.4988745097311
0.7040	1.4986551564396
0.7130	1.4984450073867
0.7220	1.4982435487449
0.7310	1.4980503022845
0.7400	1.4978648224459
0.7490	1.4976866936891
0.7580	1.4975155280914
0.7670	1.4973509631659
0.7760	1.497192659879
0.7850	1.497040300846
0.7940	1.4968935886868
0.8030	1.4967522445254
0.8120	1.49661600662
0.8210	1.4964846291094
0.8300	1.4963578808656
0.8390	1.4962355444425
0.8480	1.4961174151106
0.8570	1.4960032999711
0.8660	1.4958930171407
0.8750	1.4957863950021
0.8840	1.4956832715125
0.8930	1.4955834935669
0.9020	1.4954869164099
0.9110	1.4953934030926
0.9200	1.4953028239697
0.9290	1.4952150562352
0.9380	1.4951299834914
0.9470	1.4950474953497
0.9560	1.49496748706
0.9650	1.4948898591672
0.9740	1.4948145171908
0.9830	1.4947413713284
0.9920	1.4946703361784
1.001	1.4946013304827
1.010	1.494534276886
1.019	1.4944691017122
1.028	1.494405734755
1.037	1.4943441090827
1.046	1.4942841608554
1.055	1.4942258291543
1.064	1.4941690558219
1.073	1.4941137853125
1.082	1.4940599645515
1.091	1.4940075428042
1.100	1.4939564715525
